model_name,parameters,f1,accuracy,precision,recall,confusion_matrix,RQ,Window Size,Hop Length,Correlation Treshold
logisticregression,"{'C': 10, 'solver': 'lbfgs', 'random_state': 42}",0.3333333333333333,0.5,0.25,0.5,"[[864   0]
 [864   0]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 5, 'weights': 'uniform'}",0.5178543974034109,0.5179398148148148,0.5179525367744149,0.5179398148148148,"[[459 405]
 [428 436]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 5, 'weights': 'distance'}",0.507782716631904,0.5081018518518519,0.5081229182335876,0.5081018518518519,"[[461 403]
 [447 417]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 10, 'weights': 'uniform'}",0.5058796616539305,0.5138888888888888,0.5148518255368889,0.5138888888888888,"[[554 310]
 [530 334]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 10, 'weights': 'distance'}",0.5066245583180967,0.5069444444444444,0.5069625013430751,0.5069444444444444,"[[460 404]
 [448 416]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 15, 'weights': 'uniform'}",0.514268321160938,0.5144675925925926,0.5144913729368243,0.5144675925925926,"[[462 402]
 [437 427]]",1,1.0,0.5,0.7
kneighbors,"{'n_neighbors': 15, 'weights': 'distance'}",0.5095053249726287,0.5098379629629629,0.5098647227360098,0.5098379629629629,"[[463 401]
 [446 418]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'random_state': 42}",0.7182877101081352,0.71875,0.7201953624345331,0.71875,"[[586 278]
 [208 656]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 64, 'random_state': 42}",0.7185143275445753,0.71875,0.7194850509948978,0.71875,"[[596 268]
 [218 646]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31, 'random_state': 42}",0.7108425007922494,0.7112268518518519,0.7123559143303879,0.7112268518518519,"[[583 281]
 [218 646]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 64, 'random_state': 42}",0.7230888064024718,0.7233796296296297,0.724321997417133,0.7233796296296297,"[[597 267]
 [211 653]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'random_state': 42}",0.7240970379759857,0.7251157407407407,0.7284903143699752,0.7251157407407407,"[[574 290]
 [185 679]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 64, 'random_state': 42}",0.7093326484052759,0.7100694444444444,0.7122212343032532,0.7100694444444444,"[[570 294]
 [207 657]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31, 'random_state': 42}",0.7188269021406368,0.7193287037037037,0.7209056798265439,0.7193287037037037,"[[585 279]
 [206 658]]",1,1.0,0.5,0.7
lgbm,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 64, 'random_state': 42}",0.7123464215138758,0.7129629629629629,0.7148045658941543,0.7129629629629629,"[[576 288]
 [208 656]]",1,1.0,0.5,0.7
