Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,2,svm,0.5,0.30303191895571474,0.34404283801874164,0.340379347835785,0.350427699571826
2,2,svm,1.0,0.3023717192553435,0.3427041499330656,0.34146291060701234,0.34899460281995315
2,2,svm,5.0,0.3070782055133591,0.3427041499330656,0.34618167767573543,0.34860019591959607
2,2,svm,10.0,0.3098172723159223,0.3427041499330656,0.3483354798423292,0.3483835401343495
2,2,svm,20.0,0.30747155421068467,0.34002677376171353,0.3447579768788335,0.3456617261842198
2,2,svm_rbf,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm_rbf,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm_rbf,0.5,0.30303191895571474,0.34404283801874164,0.340379347835785,0.350427699571826
2,2,svm_rbf,1.0,0.3023717192553435,0.3427041499330656,0.34146291060701234,0.34899460281995315
2,2,svm_rbf,5.0,0.3070782055133591,0.3427041499330656,0.34618167767573543,0.34860019591959607
2,2,svm_rbf,10.0,0.3098172723159223,0.3427041499330656,0.3483354798423292,0.3483835401343495
2,2,svm_rbf,20.0,0.30747155421068467,0.34002677376171353,0.3447579768788335,0.3456617261842198
2,2,randomforest,10.0,0.33175603586682484,0.3360107095046854,0.3313501691240735,0.3346346945493844
2,2,randomforest,25.0,0.35136335020680226,0.3534136546184739,0.352090702291825,0.3525987314613573
2,2,randomforest,50.0,0.3315027829313544,0.3333333333333333,0.33211922046873504,0.33341563832437676
2,2,randomforest,100.0,0.3418747675804086,0.34404283801874164,0.34248936831327387,0.34322238175298353
2,2,randomforest,200.0,0.35492158289154013,0.35609103078982596,0.35439821538664434,0.35661771356864563
2,2,randomforest,500.0,0.35836514806816705,0.35876840696117807,0.3581508939973462,0.3592451188525785
2,2,gradientboosting,10.0,0.3792141614551763,0.3788487282463186,0.3800349968852421,0.37911155090679327
2,2,gradientboosting,25.0,0.3844094258972209,0.38420348058902276,0.38746635071340446,0.383944116121449
2,2,gradientboosting,50.0,0.36207361165046964,0.3627844712182062,0.36462176459896495,0.36323351756639877
2,2,gradientboosting,100.0,0.3763190990435703,0.37617135207496655,0.37668557230054556,0.37630916106207063
