Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
1,2,extratrees,500.0,0.340083765164719,0.34002677376171353,0.34026724094888694,0.3400008373149562
1,5,svm,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm,0.5,0.3595955608483123,0.4094159713945173,0.40543760394341555,0.3874040151255696
1,5,svm,1.0,0.3812243729694998,0.4201430274135876,0.4234678486779327,0.4006278426484009
1,5,svm,5.0,0.4071538176378866,0.4266984505363528,0.4207372669321205,0.4137837100787139
1,5,svm,10.0,0.4156136050485164,0.4308700834326579,0.4256228464715011,0.41967063610187316
1,5,svm,20.0,0.42002973100979596,0.4308700834326579,0.4258971279461415,0.42190234658246956
1,5,svm_rbf,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm_rbf,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm_rbf,0.5,0.3595955608483123,0.4094159713945173,0.40543760394341555,0.3874040151255696
1,5,svm_rbf,1.0,0.3812243729694998,0.4201430274135876,0.4234678486779327,0.4006278426484009
1,5,svm_rbf,5.0,0.4071538176378866,0.4266984505363528,0.4207372669321205,0.4137837100787139
1,5,svm_rbf,10.0,0.4156136050485164,0.4308700834326579,0.4256228464715011,0.41967063610187316
1,5,svm_rbf,20.0,0.42002973100979596,0.4308700834326579,0.4258971279461415,0.42190234658246956
1,5,randomforest,10.0,0.4121905370676244,0.4272943980929678,0.42129917021040075,0.41594173489123176
1,5,randomforest,25.0,0.4190585773629425,0.433253873659118,0.4282437851478551,0.42206054575970103
1,5,randomforest,50.0,0.42406076002307436,0.44159713945172824,0.4395062261863088,0.4290488529148037
1,5,randomforest,100.0,0.41371275149226605,0.433849821215733,0.43173938272948176,0.4201734041600345
1,5,randomforest,200.0,0.4300027995513109,0.45172824791418353,0.45284977945376825,0.4374541155520106
1,5,randomforest,500.0,0.42709733815729933,0.4475566150178784,0.4473133176068522,0.4335884508545058
1,5,gradientboosting,10.0,0.3026871116843331,0.39690107270560193,0.41648430550859783,0.3664781055360704
1,5,gradientboosting,25.0,0.35901640698113096,0.4129916567342074,0.41628542628959525,0.38987318357659156
1,5,gradientboosting,50.0,0.3973578741897524,0.43563766388557806,0.44472474700004033,0.41662376537476725
1,5,gradientboosting,100.0,0.4134672471871304,0.4410011918951132,0.44549580095197233,0.42496802274733536
1,5,gradientboosting,200.0,0.4271861494141617,0.44576877234803336,0.44380593262946205,0.43343122813202095
1,5,gradientboosting,500.0,0.4328984377451726,0.44517282479141834,0.44124332755616685,0.43553410640838025
1,5,extratrees,10.0,0.41086534421427595,0.42908224076281287,0.42305342154272013,0.4162162383197052
1,5,extratrees,25.0,0.4106115220878701,0.4272943980929678,0.4208055414837329,0.4157527542324499
1,5,extratrees,50.0,0.4283115857052713,0.4475566150178784,0.44657889740121665,0.43407047407368116
1,5,extratrees,100.0,0.42925820477043214,0.44934445768772346,0.44792458612627667,0.4358230906993423
1,5,extratrees,200.0,0.4187238829471096,0.4398092967818832,0.43802029505804496,0.42584487910986574
1,5,extratrees,500.0,0.4354415390569448,0.4582836710369487,0.4600862382211788,0.4435686153534757
2,1,svm,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
2,1,svm,0.01,0.3651153991676126,0.5083432657926102,0.53893712181005,0.5044155755591926
2,1,svm,0.5,0.41506283827171814,0.5131108462455304,0.5283577825530699,0.5097304623567921
2,1,svm,1.0,0.415372846733236,0.5125148986889154,0.526222352519626,0.509149390798327
2,1,svm,5.0,0.512342091129145,0.5292014302741359,0.5319006835860769,0.5276868521549373
2,1,svm,10.0,0.5072800063024157,0.5113230035756854,0.5125648355534599,0.5121144185306419
2,1,svm,20.0,0.5061340224686838,0.5113230035756854,0.5127954396618444,0.5122138684306237
2,1,svm_rbf,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
2,1,svm_rbf,0.01,0.3651153991676126,0.5083432657926102,0.53893712181005,0.5044155755591926
2,1,svm_rbf,0.5,0.41506283827171814,0.5131108462455304,0.5283577825530699,0.5097304623567921
2,1,svm_rbf,1.0,0.415372846733236,0.5125148986889154,0.526222352519626,0.509149390798327
2,1,svm_rbf,5.0,0.512342091129145,0.5292014302741359,0.5319006835860769,0.5276868521549373
2,1,svm_rbf,10.0,0.5072800063024157,0.5113230035756854,0.5125648355534599,0.5121144185306419
2,1,svm_rbf,20.0,0.5061340224686838,0.5113230035756854,0.5127954396618444,0.5122138684306237
2,1,randomforest,10.0,0.68765958535161,0.6877234803337307,0.6881344599977239,0.6878906960356428
2,1,randomforest,25.0,0.6949699988464528,0.6966626936829559,0.7000327537655961,0.6960896299327151
2,1,randomforest,50.0,0.7127990962927464,0.7139451728247914,0.716466893332565,0.7134677895981087
2,1,randomforest,100.0,0.7077097349133683,0.7097735399284862,0.7145809188515448,0.7091218289689034
2,1,randomforest,200.0,0.694619230565304,0.6972586412395709,0.7029176201372997,0.6965314716312057
2,1,randomforest,500.0,0.7075761943898209,0.7103694874851013,0.7171942903579126,0.7096034506273868
2,1,gradientboosting,10.0,0.6948608475648324,0.698450536352801,0.7065673938356978,0.6975941648481543
2,1,gradientboosting,25.0,0.6948608475648324,0.698450536352801,0.7065673938356978,0.6975941648481543
2,1,gradientboosting,50.0,0.69731166927683,0.700238379022646,0.7067862913262548,0.6994666643935261
